location,population,peak_infection,infection_rate
Andorra,77265,13232,17.125477253607713
Montenegro,628062,97389,15.506271673815641
Czechia,10709000,1630760,15.22794603632726
San Marino,33938,5066,14.92722022511639
Slovenia,2078930,240292,11.558434811720634
Luxembourg,625976,67205,10.736034608355592
Bahrain,1701580,176934,10.398199793956568
Serbia,6804600,689557,10.133694932072382
United States,331003000,32347000,9.772420678098728
Israel,8655540,838481,9.687216547180586
Sweden,10099300,973604,9.640340341430619
Estonia,1326540,122019,9.198297223074482
Lithuania,2722290,247269,9.083121532562096
Netherlands,17134900,1522970,8.888149266595047
Belgium,11589600,990229,8.544105343956176
Panama,4314770,364576,8.449492533549892
France,68147700,5677840,8.331661963352301
Portugal,10196700,836493,8.203560227826493
Croatia,4105270,332183,8.091627635516122
Hungary,9660350,779348,8.067492378640525
Georgia,3989180,310310,7.778801381237975
Lebanon,6825440,526578,7.714928937935447
Liechtenstein,38137,2926,7.672339198154024
Switzerland,8654620,659974,7.625686078807868
Spain,46754800,3524080,7.537361310449002
Cyprus,875899,65233,7.447548176216665
Poland,37846600,2792140,7.377523225069282
North Macedonia,2083380,152367,7.313452178671199
Armenia,2963230,216064,7.291493010676849
Qatar,2881060,205652,7.138067239141149
Slovakia,5459640,382211,7.000659200610736
Jordan,10203100,711373,6.9720987852759055
European Union,444919000,30771200,6.916137323958098
Brazil,212559000,14659000,6.896430103
Austria,9006400,618870,6.871446971042813
Malta,441539,30292,6.860549124765876
Italy,60461800,4022650,6.653211014394074
Argentina,45195800,2977360,6.587701912674317
United Kingdom,67886000,4432250,6.528954423592494
Kuwait,4270560,273991,6.415805129206617
North America,592072000,37529500,6.338667565728201
Latvia,1886200,118558,6.285540997199663
Chile,19116200,1198240,6.268214909567839
Monaco,39244,2454,6.253185200285394
Moldova,4033960,250837,6.218128426066377
Bosnia and Herzegovina,3280820,198461,6.049137180852928
Europe,748680000,44863500,5.992343346276147
Seychelles,98340,5873,5.972137482204596
Bulgaria,6948440,404380,5.819719376061839
Palestine,5101420,296462,5.811366883233989
South America,430760000,24878200,5.775426905227103
Turkey,84339100,4820590,5.715727411914365
Uruguay,3473730,198428,5.712250848
Colombia,50882900,2859720,5.620208162729141
Maldives,540542,29835,5.519460097457737
Romania,19237700,1055260,5.485406193947899
Peru,32971800,1799440,5.457519727588197
Kosovo,1932770,103638,5.362137528754009
United Arab Emirates,9890400,520236,5.260009706381946
Ireland,4937800,248870,5.040102912311484
Costa Rica,5094110,250991,4.927078585206377
Ukraine,43733800,2124070,4.856819994439078
Albania,2877800,131085,4.555042046007367
Denmark,5792200,251249,4.337710539
Cape Verde,555988,23882,4.295416447837003
Germany,83783900,3405360,4.0644601309291435
Paraguay,7132530,279077,3.912735032309713
Belarus,9449320,358738,3.7964420935641834
Oman,5106620,193253,3.7843607770459613
Vatican,809,27,3.3374536464771323
Greece,10423100,345033,3.3102863497999047
Russia,145934000,4750760,3.255403055
Canada,37742200,1228370,3.254628590905088
Belize,397621,12668,3.1859484282771784
Azerbaijan,10139200,319109,3.1472876244862134
Iran,83993000,2499080,2.9753413119710332
South Africa,59308700,1581210,2.6660680809529964
Bahamas,393248,10453,2.6581190495565137
Iraq,40222500,1065200,2.648266254
Tunisia,11818600,309119,2.6155257746717933
Bolivia,11673000,303732,2.601998161745336
Libya,6871290,177508,2.583329731388021
Saint Lucia,183629,4552,2.4789112830762026
Dominican Republic,10847900,266561,2.457258102579079
Ecuador,17643100,381862,2.1643751140675143
Honduras,9904610,212333,2.1437799456576174
Norway,5421240,112970,2.0838398285854054
Kazakhstan,18776700,375539,2.0000257766164333
Botswana,2351620,46934,1.9958114070057937
World,7794800000,151399000,1.9423143037382025
Namibia,2540920,48351,1.9028964357735556
Iceland,341250,6472,1.8965567765567766
Mexico,128933000,2344760,1.8185875688126165
Suriname,586634,10363,1.7665188175250666
Guyana,786559,13283,1.688748078656528
Saint Vincent and the Grenadines,110947,1864,1.6800814803464719
Eswatini,1160160,18458,1.5909819646187953
Finland,5540720,86808,1.5667283554225284
Jamaica,2961160,45578,1.5391935798154845
Kyrgyzstan,6524190,95275,1.460334315779535
India,1380000000,19165000,1.388761417
Morocco,36910600,511249,1.3851022579987948
Barbados,287371,3855,1.3414714776369223
Guatemala,17915600,227671,1.270799787
Malaysia,32366000,408713,1.2627850993502503
Antigua and Barbuda,97928,1232,1.2580671513765216
Saudi Arabia,34813900,417363,1.1988412204010195
Mongolia,3278290,37285,1.1373300486960893
Djibouti,988002,11100,1.1234795071265038
Nepal,29136800,323187,1.1092052362084412
El Salvador,6486200,69198,1.0668494547116256
Sao Tome and Principe,219161,2302,1.0503693631622413
Singapore,5850340,61145,1.045152395338188
Gabon,2225730,23075,1.0367394398596774
Philippines,109581000,1037460,0.9467509576104958
Cuba,11326600,106707,0.9420907356619135
Asia,4639850000,39526300,0.8518880986376159
Trinidad and Tobago,1399490,10824,0.7734240520303453
Venezuela,28435900,197683,0.6951870491797283
Indonesia,273524000,1668370,0.609953913
Equatorial Guinea,1402980,7694,0.5484021568299019
Sri Lanka,21413200,108146,0.5050424386769874
Lesotho,2142250,10731,0.5009214602203662
Zambia,18384000,91586,0.49818439513236434
Japan,126476000,593264,0.4690707019810865
Bangladesh,164689000,759132,0.4609477662967161
Comoros,869595,3834,0.4408948993496972
Mauritania,4649660,18402,0.3957708735692502
Pakistan,220892000,825519,0.373720073
Africa,1340600000,4557700,0.3399750343082677
Ghana,31072900,92562,0.29788616102806353
Kenya,53771300,159318,0.2962881685955147
Algeria,43851000,122108,0.2784608731322337
Cameroon,26545900,72250,0.2721704593981194
Uzbekistan,33469200,90808,0.271318107
Myanmar,54409800,142817,0.2624840028794817
Zimbabwe,14862900,38257,0.2573988286425682
Gambia,2416660,5898,0.2440554417163495
Dominica,71991,174,0.24169687877651372
Senegal,16743900,40344,0.24094701781481406
South Korea,51269200,122634,0.2391963172263479
Ethiopia,114964000,257442,0.22393351967871844
Mozambique,31255400,69917,0.22369548772251968
Egypt,102334000,227552,0.22236120014384217
Rwanda,12952200,25116,0.19391286845355876
Congo,5518090,10678,0.19350891576291224
Guinea-Bissau,1968000,3734,0.1897359651788264
Malawi,19130000,34078,0.17813945834480746
Cote d'Ivoire,26378300,46036,0.17452239865865382
Timor,1318440,2276,0.1726279957707658
Guinea,13132800,22215,0.16915671854088604
Togo,8278740,12967,0.1566301719694683
Afghanistan,38928300,59745,0.15347430689312722
Grenada,112519,160,0.1421982065251202
Tajikistan,9537640,13308,0.13953134328170422
Bhutan,771612,1074,0.13918912614111756
Madagascar,27691000,37014,0.13366788222319004
Central African Republic,4829760,6411,0.13273940507238033
Syria,17500700,22733,0.12989798782399928
Papua New Guinea,8947030,10997,0.12291233724901021
Australia,25499900,29811,0.11690643250085882
Haiti,11402500,13056,0.11450087449867499
Nicaragua,6624550,6898,0.10412776467668616
Eritrea,3546430,3671,0.10351263398344304
Oceania,42677800,43570,0.102090529
Mauritius,1271770,1209,0.095064583
South Sudan,11193700,10583,0.094544008
Thailand,69800000,65153,0.093342439
Uganda,45741000,41866,0.091528388
Somalia,15893200,13915,0.087553063
